K2NaRhF6,1,cubic
KMg(PO3)3,1,hexagonal
Na3VP8O23,1,cubic
SrCu(SeO3)4,0,orthorhombic
Ba2TbCeO6,0,cubic
BaEuZr2O6,1,tetragonal
SrNdHf4O12,0,orthorhombic
NdEu2NbO6,1,cubic
TiPO4F,1,monoclinic
LiMn2(BO3)2,1,triclinic
MgNi(GeO3)2,1,monoclinic
Sr2CuSi2O7,1,tetragonal
YMn(WO4)2,1,triclinic
Li7Mn4CoO12,1,triclinic
Mg2Ta2NiO8,1,monoclinic
Li3Cr(PO4)2,1,monoclinic
Gd2SiTeO4,0,orthorhombic
Sr2GdRuO6,1,monoclinic
KSrVO4,1,orthorhombic
Sr3Sc(BO3)3,1,trigonal
K2Na4Co2O5,1,tetragonal
LiInGeO4,1,orthorhombic
Ca2FeMoO6,1,monoclinic
Ca2CoSi2O7,1,tetragonal
RbFe(MoO4)2,1,trigonal
Ba2Mn(BO2)6,1,trigonal
VCrMoO7,1,triclinic
Na2V(PO4)2,1,monoclinic
In6Ge2PtO9,1,cubic
VBiPbO5,1,triclinic
PH6NO4,1,tetragonal
CuSi(HO2)2,1,trigonal
CoH2SeO5,1,monoclinic
HCNO,1,monoclinic
H6CSN4,1,monoclinic
MgB3H15O13,1,triclinic
CdH4(BrO4)2,1,orthorhombic
LiFe2(PO4)3,1,monoclinic
LiVPO4,1,orthorhombic
LiMnP2O7,1,triclinic
Li2V(PO4)2,1,monoclinic
LiNb(PO3)4,1,orthorhombic
LiNb2(PO4)3,0,triclinic
LiMnP2O7,1,monoclinic
LiSn2(PO4)3,1,monoclinic
LiMn2(PO4)3,0,monoclinic
Ca2MnIrO6,0,monoclinic
LiNiPO4,1,monoclinic
CrH9(CN2)3,1,trigonal
Li14Ni9(P2O7)8,1,triclinic
Li2Cr(PO4)2,0,monoclinic
Li2MnP2O7,1,triclinic
LiCr(PO3)3,1,monoclinic
Li4Ni3P4O15,1,orthorhombic
YAlGeO5,1,orthorhombic
NaCu4(AsO4)3,0,monoclinic
Ba2Mn2As2O,0,monoclinic
SmSeClO3,1,orthorhombic
Ca2BClO3,1,monoclinic
BaMo(PO4)2,1,monoclinic
KNaSO4,1,trigonal
Sr2V3BiO11,1,triclinic
Er2B2Cl2O5,1,orthorhombic
RbAu(SeO4)2,1,monoclinic
NiBiAsO5,1,triclinic
Cs3Mo4P3O16,1,cubic
KV4P7O24,1,triclinic
P2IrClF6,1,monoclinic
Rb2Na2SiO4,1,orthorhombic
P2NCl5O,1,monoclinic
Na3SO4F,1,monoclinic
LiTaSiO5,1,monoclinic
Cs3CuTeS9,1,orthorhombic
Ba6Nb14Si4O47,0,hexagonal
CaVBiO5,1,orthorhombic
NaAlAs2O7,1,monoclinic
Rb3Zr2P5S18,1,monoclinic
Cs2TeOF4,1,orthorhombic
AuCClO,1,orthorhombic
AgCSN,1,orthorhombic
BaP4(W2O7)8,0,monoclinic
K3Bi5(PO4)6,1,monoclinic
YbHg6As4Br7,0,cubic
K2NaBP2,1,monoclinic
Sm3CuSnSe7,1,hexagonal
CsW3Br3Cl4,1,trigonal
Rb7Th2(P2Se7)3,1,triclinic
Mg2Al4Si5O18,1,orthorhombic
RbV2SbO8,1,orthorhombic
KEuPSe4,0,orthorhombic
Ba3CeRu2O9,0,hexagonal
Yb4Mg4Fe3H22,1,cubic
K2Si2Pb2O,0,hexagonal
Ba3La2(BO3)4,1,orthorhombic
Re2N2ClF9,1,orthorhombic
Os3C8SO8,1,monoclinic
Os5C15SO15,1,orthorhombic
Na2ZnP2O7,1,tetragonal
Co4Si(CO)14,1,monoclinic
LuNi2B2C,0,tetragonal
KC(NO2)3,1,tetragonal
Na2Zn2(TeO3)3,1,hexagonal
K3Co(CN)6,1,orthorhombic
K3Ga2(PO4)3,1,orthorhombic
K2Dy4Cu4S9,1,monoclinic
MnAsH3O5,1,monoclinic
TlH6(NO4)3,1,trigonal
SnH8(NCl3)2,1,cubic
CaP2(HO2)4,1,triclinic
H10S(NO)4,1,monoclinic
HOs7C20O19,1,monoclinic
Zn2PHO5,1,triclinic
H7C3N3O5,1,monoclinic
CoH6(SeO4)2,1,monoclinic
CoH8(ClO2)2,1,monoclinic
LiV3O5F,1,triclinic
Li2Cr(SiO3)2,1,monoclinic
LiSnPO4,1,tetragonal
Li3Co3NiO8,0,trigonal
Li3Co2(CO3)4,1,triclinic
CsLi7(NiO3)2,1,monoclinic
LiV3CoO10,1,monoclinic
LiFePO4,1,tetragonal
